bytes,date,ipaddr,ipdate,last
104235270,null,10.2.0.1,10.2.0.1 2012-04-25,null
66190708,null,10.2.0.1,10.2.0.1 2012-04-27,null
160160001,null,10.2.0.1,10.2.0.1 2012-04-26,null
197930025,null,10.2.0.1,10.2.0.1 2012-04-30,null
1052250,null,10.2.0.1,10.2.0.1 2012-05-01,null
28856565,null,10.2.0.1,10.2.0.1 2012-05-02,null
133845186,null,10.2.0.1,10.2.0.1 2012-05-03,null
247149905,null,10.2.0.1,10.2.0.1 2012-05-04,null
125139135,null,10.2.0.1,10.2.0.1 2012-05-08,null
316034324,null,10.2.0.1,10.2.0.1 2012-05-09,null
201695832,null,10.2.0.1,10.2.0.1 2012-05-10,null
83351984,null,10.2.0.1,10.2.0.1 2012-05-11,null
274544593,null,10.2.0.1,10.2.0.1 2012-05-13,null
606782193,null,10.2.0.1,10.2.0.1 2012-05-14,null
681760523,null,10.2.0.1,10.2.0.1 2012-05-15,null
94613,null,10.2.0.1,10.2.0.1 2012-05-16,null
129582372,null,10.2.0.1,10.2.0.1 2012-05-22,null
55251099,null,10.2.0.1,10.2.0.1 2012-05-25,null
19239864,null,10.2.0.1,10.2.0.1 2012-05-29,null
64003,null,10.2.0.1,10.2.0.1 2012-06-11,null
19335543,null,10.2.0.1,10.2.0.1 2012-06-12,null
21677496,null,10.2.0.1,10.2.0.1 2012-06-14,null
64891115,null,10.2.0.1,10.2.0.1 2012-06-18,null
27040,null,10.2.0.1,10.2.0.1 2012-06-21,null
46889,null,10.2.0.1,10.2.0.1 2012-06-26,null
38241,null,10.2.0.1,10.2.0.1 2012-06-27,null
37267,null,10.2.0.1,10.2.0.1 2012-07-04,null
