bytes,date,ipaddr,ipdate
38798793,null,10.2.0.1,10.2.0.1 2012-04-25
26898923,null,10.2.0.1,10.2.0.1 2012-04-26
1801706,null,10.2.0.1,10.2.0.1 2012-04-27
204844766,null,10.2.0.1,10.2.0.1 2012-04-30
34633,null,10.2.0.1,10.2.0.1 2012-05-01
29729406,null,10.2.0.1,10.2.0.1 2012-05-02
7430495,null,10.2.0.1,10.2.0.1 2012-05-03
196248753,null,10.2.0.1,10.2.0.1 2012-05-04
99965063,null,10.2.0.1,10.2.0.1 2012-05-08
325594464,null,10.2.0.1,10.2.0.1 2012-05-09
2449160,null,10.2.0.1,10.2.0.1 2012-05-10
19436187,null,10.2.0.1,10.2.0.1 2012-05-11
168472536,null,10.2.0.1,10.2.0.1 2012-05-13
206921920,null,10.2.0.1,10.2.0.1 2012-05-14
322314939,null,10.2.0.1,10.2.0.1 2012-05-15
38030,null,10.2.0.1,10.2.0.1 2012-05-16
38745,null,10.2.0.1,10.2.0.1 2012-05-22
10439,null,10.2.0.1,10.2.0.1 2012-05-25
8818,null,10.2.0.1,10.2.0.1 2012-05-29
109791,null,10.2.0.1,10.2.0.1 2012-06-11
2953,null,10.2.0.1,10.2.0.1 2012-06-12
2922,null,10.2.0.1,10.2.0.1 2012-06-14
2448,null,10.2.0.1,10.2.0.1 2012-06-18
93263,null,10.2.0.1,10.2.0.1 2012-06-21
104227,null,10.2.0.1,10.2.0.1 2012-06-26
1396,null,10.2.0.1,10.2.0.1 2012-06-27
15390,null,10.2.0.1,10.2.0.1 2012-07-04
