deviceIp,year,month,day,hour,nbytes
10.2.0.1,2012,4,25,18,78530591
10.2.0.1,2012,4,25,19,28882765
10.2.0.1,2012,4,26,12,210678
10.2.0.1,2012,4,26,13,87192108
10.2.0.1,2012,4,26,14,77916964
10.2.0.1,2012,4,27,12,81197
10.2.0.1,2012,4,27,13,113816
10.2.0.1,2012,4,27,14,3743
10.2.0.1,2012,4,27,15,58094692
10.2.0.1,2012,4,27,16,9911202
10.2.0.1,2012,4,30,17,1298847
10.2.0.1,2012,4,30,18,78255448
10.2.0.1,2012,4,30,19,126563494
10.2.0.1,2012,5,1,12,215519
10.2.0.1,2012,5,1,13,918275
10.2.0.1,2012,5,1,14,757894
10.2.0.1,2012,5,1,15,1042609
10.2.0.1,2012,5,1,16,243020
10.2.0.1,2012,5,1,17,3498
10.2.0.1,2012,5,2,14,332090
10.2.0.1,2012,5,2,15,93772
10.2.0.1,2012,5,2,16,29700569
10.2.0.1,2012,5,3,12,89098438
10.2.0.1,2012,5,3,13,9910338
10.2.0.1,2012,5,3,14,39212082
10.2.0.1,2012,5,3,15,414279
10.2.0.1,2012,5,4,18,88756135
10.2.0.1,2012,5,4,19,19494449
10.2.0.1,2012,5,4,20,59107634
10.2.0.1,2012,5,4,21,88276551
10.2.0.1,2012,5,8,18,9969850
10.2.0.1,2012,5,8,19,9880787
10.2.0.1,2012,5,8,20,104659610
10.2.0.1,2012,5,8,21,14750350
10.2.0.1,2012,5,9,18,30758877
10.2.0.1,2012,5,9,19,69357324
10.2.0.1,2012,5,9,20,128919414
10.2.0.1,2012,5,9,21,99160378
10.2.0.1,2012,5,10,12,9910694
10.2.0.1,2012,5,10,13,78957389
10.2.0.1,2012,5,10,14,99769268
10.2.0.1,2012,5,10,15,29881703
10.2.0.1,2012,5,11,14,8662359
10.2.0.1,2012,5,11,15,38363734
10.2.0.1,2012,5,11,16,48590697
10.2.0.1,2012,5,11,19,30618
10.2.0.1,2012,5,11,20,153163
10.2.0.1,2012,5,11,21,45057
10.2.0.1,2012,5,11,22,58217
10.2.0.1,2012,5,11,23,9990
10.2.0.1,2012,5,13,22,57055845
10.2.0.1,2012,5,13,23,226315240
10.2.0.1,2012,5,14,12,19169710
10.2.0.1,2012,5,14,13,19131322
10.2.0.1,2012,5,14,14,94868
10.2.0.1,2012,5,14,15,73562996
10.2.0.1,2012,5,14,16,225707
10.2.0.1,2012,5,14,18,62897
10.2.0.1,2012,5,14,20,46486302
10.2.0.1,2012,5,14,21,133622895
10.2.0.1,2012,5,14,22,207831446
10.2.0.1,2012,5,14,23,151188646
10.2.0.1,2012,5,15,10,110533
10.2.0.1,2012,5,15,11,94685619
10.2.0.1,2012,5,15,12,68722768
10.2.0.1,2012,5,15,15,94932013
10.2.0.1,2012,5,15,17,132494191
10.2.0.1,2012,5,15,18,170643681
10.2.0.1,2012,5,15,20,144681192
10.2.0.1,2012,5,16,12,34851
10.2.0.1,2012,5,16,13,319012
10.2.0.1,2012,5,22,12,2070323
10.2.0.1,2012,5,22,13,76455093
10.2.0.1,2012,5,22,14,41416557
10.2.0.1,2012,5,22,15,19035658
10.2.0.1,2012,5,25,14,57323116
10.2.0.1,2012,5,29,12,2437973
10.2.0.1,2012,5,29,15,19458293
10.2.0.1,2012,5,29,16,252957
10.2.0.1,2012,6,11,17,335383
10.2.0.1,2012,6,12,12,19858091
10.2.0.1,2012,6,14,16,23129735
10.2.0.1,2012,6,14,17,10269
10.2.0.1,2012,6,18,13,66865060
10.2.0.1,2012,6,21,14,74803
10.2.0.1,2012,6,26,15,24916
10.2.0.1,2012,6,26,19,59135
10.2.0.1,2012,6,27,14,92980
10.2.0.1,2012,7,4,20,94028
10.2.0.1,2012,7,4,21,5969
10.2.0.1,2012,7,10,13,135153
10.2.0.1,2012,7,10,14,6924
10.2.0.1,2012,7,10,15,3111
10.2.0.1,2012,7,10,16,19452
10.2.0.1,2012,7,11,11,2158
10.2.0.1,2012,7,11,12,2950
10.2.0.1,2012,7,11,13,851
10.2.0.1,2012,7,11,14,1000
10.2.0.1,2012,7,11,15,698
10.2.0.1,2012,7,12,12,840
10.2.0.1,2012,7,14,19,16058
10.2.0.1,2012,7,16,11,2662
10.2.0.1,2012,7,17,12,974
10.2.0.1,2012,7,19,11,1100
10.2.0.1,2012,7,20,12,730
10.2.0.1,2012,7,24,13,4127
