daddr,dport,last,nbytes,npkts,proto,saddr,sport
10.2.0.1,53864,2012-04-25 18:12:42.508,146,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:12:42.509,82,1,17,10.2.0.1,53622
10.2.0.1,49267,2012-04-25 18:12:50.515,90,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:12:50.515,90,1,17,10.2.0.1,49267
10.2.0.2,53,2012-04-25 18:12:56.52,75,1,17,10.2.0.1,55204
10.2.0.1,64299,2012-04-25 18:12:56.521,79,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:12:56.521,79,1,17,10.2.0.1,64299
10.2.0.1,55204,2012-04-25 18:12:56.521,75,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:13:05.528,89,1,17,10.2.0.1,57947
10.2.0.1,57947,2012-04-25 18:13:05.528,89,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:13:19.539,83,1,17,10.2.0.1,56226
10.2.0.1,56226,2012-04-25 18:13:19.539,83,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:13:23.544,80,1,17,10.2.0.1,58373
10.2.0.1,58373,2012-04-25 18:13:23.544,80,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:13:25.546,88,1,17,10.2.0.1,64301
10.2.0.1,64301,2012-04-25 18:13:25.546,88,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:13:39.557,82,1,17,10.2.0.1,55373
10.2.0.1,55373,2012-04-25 18:13:39.557,82,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:13:53.567,75,1,17,10.2.0.1,56508
10.2.0.2,53,2012-04-25 18:13:53.568,79,1,17,10.2.0.1,54142
10.2.0.1,56508,2012-04-25 18:13:53.568,75,1,17,10.2.0.2,53
10.2.0.1,54142,2012-04-25 18:13:53.568,79,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:13:55.57,91,1,17,10.2.0.1,52064
10.2.0.1,52064,2012-04-25 18:13:55.57,91,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:14:09.581,88,1,17,10.2.0.1,64586
10.2.0.1,64586,2012-04-25 18:14:09.582,88,1,17,10.2.0.2,53
10.2.0.1,65363,2012-04-25 18:14:23.592,82,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:14:23.592,82,1,17,10.2.0.1,65363
10.2.0.1,58838,2012-04-25 18:14:37.603,75,1,17,10.2.0.2,53
10.2.0.1,58721,2012-04-25 18:14:37.603,79,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:14:37.603,75,1,17,10.2.0.1,58838
10.2.0.2,53,2012-04-25 18:14:37.603,79,1,17,10.2.0.1,58721
10.2.0.2,53,2012-04-25 18:15:03.622,88,1,17,10.2.0.1,60022
10.2.0.1,60022,2012-04-25 18:15:03.622,88,1,17,10.2.0.2,53
10.2.0.1,64302,2012-04-25 18:15:17.633,82,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:15:17.633,82,1,17,10.2.0.1,64302
10.2.0.2,53,2012-04-25 18:15:31.644,75,1,17,10.2.0.1,53503
10.2.0.2,53,2012-04-25 18:15:31.644,79,1,17,10.2.0.1,57669
10.2.0.1,57669,2012-04-25 18:15:31.644,79,1,17,10.2.0.2,53
10.2.0.1,53503,2012-04-25 18:15:31.644,75,1,17,10.2.0.2,53
10.2.0.2,22,2012-04-25 18:15:45.654,370,3,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:15:45.655,268,2,6,10.2.0.2,22
10.2.0.1,52513,2012-04-25 18:15:46.656,88,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:15:46.656,88,1,17,10.2.0.1,52513
10.2.0.2,53,2012-04-25 18:16:00.665,82,1,17,10.2.0.1,64303
10.2.0.1,64303,2012-04-25 18:16:00.665,82,1,17,10.2.0.2,53
10.2.0.1,58960,2012-04-25 18:16:14.675,75,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:16:14.675,79,1,17,10.2.0.1,55086
10.2.0.2,53,2012-04-25 18:16:14.675,75,1,17,10.2.0.1,58960
10.2.0.1,55086,2012-04-25 18:16:14.676,79,1,17,10.2.0.2,53
10.2.0.2,22,2012-04-25 18:16:17.68,562234,377,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:16:17.68,12344,204,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:16:18.682,869288,586,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:16:18.682,19166,317,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:16:19.685,1013102,685,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:16:19.685,21890,363,6,10.2.0.2,22
10.2.0.1,1099,2012-04-25 18:16:20.686,188,2,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:16:20.686,1200266,807,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:16:20.687,26312,436,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:16:20.687,188,2,6,10.2.0.1,1099
10.2.0.1,1099,2012-04-25 18:16:21.689,230,1,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:16:21.689,1846170,1247,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:16:21.689,40236,666,6,10.2.0.2,22
