times,prices,status: base,power: base,status: peaker,power: peaker,power: wind,load power: Ireland
2010-04-27 01:00:00,30.0,1.0,1975.0,1.0,0.0,345,2320
2010-04-27 01:15:00,30.0,1.0,1918.0,1.0,0.0,348,2266
2010-04-27 02:15:00,30.0,1.0,1734.0,1.0,0.0,417,2151
2010-04-27 02:30:00,30.0,1.0,1699.0,1.0,0.0,433,2132
2010-04-27 12:30:00,30.0,1.0,2613.0,-0.0,0.0,766,3379
2010-04-27 12:45:00,30.0,1.0,2628.0,-0.0,0.0,766,3394
2010-04-27 13:00:00,30.0,1.0,2607.0,1.0,0.0,771,3378
2010-04-27 13:15:00,30.0,1.0,2573.0,1.0,0.0,757,3330
2010-04-27 13:30:00,30.0,1.0,2520.0,1.0,0.0,782,3302
2010-04-27 13:45:00,30.0,1.0,2488.0,1.0,0.0,799,3287
2010-04-27 14:00:00,30.0,1.0,2498.0,1.0,0.0,757,3255
2010-04-27 19:15:00,30.0,1.0,2674.0,-0.0,0.0,666,3340
2010-04-27 19:30:00,30.0,1.0,2595.0,-0.0,0.0,710,3305
2010-04-27 19:45:00,30.0,1.0,2559.0,-0.0,0.0,697,3256
2010-04-27 20:00:00,30.0,1.0,2535.0,-0.0,0.0,680,3215
2010-04-27 20:15:00,30.0,1.0,2553.0,-0.0,0.0,676,3229
2010-04-27 22:00:00,30.0,1.0,2589.0,-0.0,0.0,614,3203
2010-04-27 22:15:00,30.0,1.0,2513.0,-0.0,0.0,609,3122
2010-04-28 07:15:00,30.0,1.0,2095.0,1.0,0.0,598,2693
2010-04-28 07:30:00,30.0,1.0,2225.0,1.0,0.0,600,2825
2010-04-28 07:45:00,30.0,1.0,2378.0,1.0,0.0,576,2954
2010-04-28 08:00:00,30.0,1.0,2499.0,1.0,0.0,567,3066
2010-04-28 08:15:00,30.0,1.0,2650.0,1.0,0.0,565,3215
2010-04-28 08:30:00,30.0,1.0,2677.0,1.0,0.0,589,3266
2010-04-28 08:45:00,30.0,1.0,2691.0,-0.0,0.0,582,3273
2010-04-28 09:00:00,30.0,1.0,2709.0,-0.0,0.0,585,3294
2010-04-28 09:15:00,30.0,1.0,2756.0,-0.0,0.0,598,3354
2010-04-28 09:30:00,30.0,1.0,2768.0,-0.0,0.0,610,3378
2010-04-28 09:45:00,30.0,1.0,2744.0,-0.0,0.0,641,3385
2010-04-28 10:00:00,30.0,1.0,2721.0,-0.0,0.0,673,3394
2010-04-28 10:15:00,30.0,1.0,2683.0,-0.0,0.0,686,3369
2010-04-28 10:30:00,30.0,1.0,2709.0,-0.0,0.0,691,3400
2010-04-28 10:45:00,30.0,1.0,2687.0,-0.0,0.0,701,3388
2010-04-28 11:00:00,30.0,1.0,2683.0,-0.0,0.0,689,3372
2010-04-28 11:15:00,30.0,1.0,2665.0,-0.0,0.0,717,3382
2010-04-28 11:30:00,30.0,1.0,2633.0,-0.0,0.0,755,3388
2010-04-28 11:45:00,30.0,1.0,2630.0,-0.0,0.0,751,3381
2010-04-28 12:00:00,30.0,1.0,2611.0,-0.0,0.0,766,3377
2010-04-28 12:15:00,30.0,1.0,2621.0,-0.0,0.0,794,3415
2010-04-28 12:30:00,30.0,1.0,2612.0,-0.0,0.0,810,3422
2010-04-28 12:45:00,30.0,1.0,2635.0,-0.0,0.0,799,3434
2010-04-28 13:00:00,30.0,1.0,2648.0,-0.0,0.0,772,3420
2010-04-28 13:15:00,30.0,1.0,2622.0,-0.0,0.0,741,3363
2010-04-28 15:00:00,30.0,1.0,2586.0,-0.0,0.0,760,3346
2010-04-28 15:15:00,30.0,1.0,2617.0,-0.0,0.0,773,3390
2010-04-28 19:00:00,30.0,1.0,2712.0,-0.0,0.0,593,3305
2010-04-28 19:15:00,30.0,1.0,2755.0,-0.0,0.0,538,3293
2010-04-28 19:30:00,30.0,1.0,2758.0,-0.0,0.0,507,3265
2010-04-28 19:45:00,30.0,1.0,2763.0,-0.0,0.0,479,3242
2010-04-28 20:00:00,30.0,1.0,2784.0,-0.0,0.0,402,3186
2010-04-28 20:15:00,30.0,1.0,2755.0,-0.0,0.0,418,3173
