Device_ip,year,month,day,hour,nbytes,Mb
10.2.0.1,2012,4,25,18,76067915.00,72.54401684
10.2.0.1,2012,4,25,19,28167355.00,26.86248302
10.2.0.1,2012,4,26,12,49516.00,0.047222137
10.2.0.1,2012,4,26,13,84803724.00,80.87513351
10.2.0.1,2012,4,26,14,75306761.00,71.81812382
10.2.0.1,2012,4,27,12,45738.00,0.043619156
10.2.0.1,2012,4,27,13,43153.00,0.041153908
10.2.0.1,2012,4,27,14,1834.00,0.001749039
10.2.0.1,2012,4,27,15,56570520.00,53.94985199
10.2.0.1,2012,4,27,16,9529463.00,9.088004112
10.2.0.1,2012,4,30,17,263644.00,0.251430511
10.2.0.1,2012,4,30,18,75368645.00,71.877141
10.2.0.1,2012,4,30,19,122297736.00,116.6322098
10.2.0.1,2012,5,1,12,44707.00,0.042635918
10.2.0.1,2012,5,1,13,422814.00,0.403226852
10.2.0.1,2012,5,1,14,422814.00,0.403226852
10.2.0.1,2012,5,1,15,333123.00,0.317690849
10.2.0.1,2012,5,1,16,56109.00,0.053509712
10.2.0.1,2012,5,1,17,2163.00,0.002062798
10.2.0.1,2012,5,2,14,147398.00,0.140569687
10.2.0.1,2012,5,2,15,25877.00,0.02467823
10.2.0.1,2012,5,2,16,28683290.00,27.35451698
10.2.0.1,2012,5,3,12,85933132.00,81.95222092
10.2.0.1,2012,5,3,13,9619890.00,9.17424202
10.2.0.1,2012,5,3,14,38227500.00,36.45658493
10.2.0.1,2012,5,3,15,64664.00,0.061668396
10.2.0.1,2012,5,4,18,85390088.00,81.4343338
10.2.0.1,2012,5,4,19,18958352.00,18.08009338
10.2.0.1,2012,5,4,20,57122229.00,54.47600269
10.2.0.1,2012,5,4,21,85679236.00,81.71008682
10.2.0.1,2012,5,8,18,9606511.00,9.161482811
10.2.0.1,2012,5,8,19,9588043.00,9.143870354
10.2.0.1,2012,5,8,20,96068637.00,91.61819172
10.2.0.1,2012,5,8,21,9875944.00,9.418434143
10.2.0.1,2012,5,9,18,28837944.00,27.50200653
10.2.0.1,2012,5,9,19,66948596.00,63.84715652
10.2.0.1,2012,5,9,20,124487376.00,118.7204132
10.2.0.1,2012,5,9,21,95760408.00,91.32424164
10.2.0.1,2012,5,10,12,9599816.00,9.155097961
10.2.0.1,2012,5,10,13,67368781.00,64.24787617
10.2.0.1,2012,5,10,14,95915583.00,91.47222805
10.2.0.1,2012,5,10,15,28811652.00,27.47693253
10.2.0.1,2012,5,11,14,233772.00,0.222942352
10.2.0.1,2012,5,11,15,36630191.00,34.93327236
10.2.0.1,2012,5,11,16,46394337.00,44.24508762
10.2.0.1,2012,5,11,19,14744.00,0.014060974
10.2.0.1,2012,5,11,20,32367.00,0.030867577
10.2.0.1,2012,5,11,21,20877.00,0.019909859
10.2.0.1,2012,5,11,22,20402.00,0.019456863
10.2.0.1,2012,5,11,23,5294.00,0.005048752
10.2.0.1,2012,5,22,22,54965754.00,52.41942787
10.2.0.1,2012,5,23,23,219578839.00,209.4066992
10.2.0.1,2012,5,14,12,18376322.00,17.52502632
10.2.0.1,2012,5,14,13,18375171.00,17.52392864
10.2.0.1,2012,5,14,14,12441.00,0.011864662
10.2.0.1,2012,5,14,15,55270026.00,52.70960426
10.2.0.1,2012,5,14,16,45385.00,0.043282509
10.2.0.1,2012,5,14,18,37639.00,0.035895348
10.2.0.1,2012,5,14,20,36837885.00,35.1313448
10.2.0.1,2012,5,14,21,128819953.00,122.8522806
10.2.0.1,2012,5,14,22,202035121.00,192.6757059
10.2.0.1,2012,5,14,23,146972250.00,140.16366
10.2.0.1,2012,5,15,10,40350.00,0.038480759
10.2.0.1,2012,5,15,11,91880466.00,87.6240406
10.2.0.1,2012,5,15,12,65947263.00,62.89221096
10.2.0.1,2012,5,15,15,65947263.00,62.89221096
10.2.0.1,2012,5,15,17,128608951.00,122.6510534
10.2.0.1,2012,5,15,18,165356925.00,157.6966524
10.2.0.1,2012,5,15,20,138001968.00,131.6089325
10.2.0.1,2012,5,16,12,17309.00,0.016507149
10.2.0.1,2012,5,16,13,77304.00,0.073722839
10.2.0.1,2012,5,22,12,244302.00,0.232984543
10.2.0.1,2012,5,22,13,73669876.00,70.25706863
10.2.0.1,2012,5,22,14,37229623.00,35.50493526
10.2.0.1,2012,5,22,15,18438571.00,17.58439159
10.2.0.2,2012,4,25,18,2462676.00,2.348590851
10.2.0.2,2012,4,25,19,715410.00,0.682268143
10.2.0.2,2012,4,26,12,161162.00,0.15369606
10.2.0.2,2012,4,26,13,2388384.00,2.277740479
10.2.0.2,2012,4,26,14,2610203.00,2.489283562
10.2.0.2,2012,4,27,12,35459.00,0.033816338
10.2.0.2,2012,4,27,13,70663.00,0.067389488
10.2.0.2,2012,4,27,14,1909.00,0.001820564
10.2.0.2,2012,4,27,15,1524172.00,1.45356369
10.2.0.2,2012,4,27,16,381739.00,0.36405468
10.2.0.2,2012,4,30,17,1035203.00,0.987246513
10.2.0.2,2012,4,30,18,2886803.00,2.753069878
10.2.0.2,2012,4,30,19,4265758.00,4.068143845
10.2.0.2,2012,5,1,12,170812.00,0.162899017
10.2.0.2,2012,5,1,13,495461.00,0.47250843
10.2.0.2,2012,5,1,14,564560.00,0.538406372
10.2.0.2,2012,5,1,15,709486.00,0.676618576
10.2.0.2,2012,5,1,16,186911.00,0.17825222
10.2.0.3,2012,5,1,17,1335.00,0.001273155
10.2.0.5,2012,5,2,14,184692.00,0.176136017
10.2.0.6,2012,5,2,15,67895.00,0.064749718
10.2.0.7,2012,5,2,16,1017279.00,0.970152855
10.2.0.9,2012,5,3,12,3165306.00,3.018671036
