deviceIp,year,month,day,hour,nbytes
10.2.0.1,2012,4,25,18,76067915
10.2.0.1,2012,4,25,19,28167355
10.2.0.1,2012,4,26,12,49516
10.2.0.1,2012,4,26,13,84803724
10.2.0.1,2012,4,26,14,75306761
10.2.0.1,2012,4,27,12,45738
10.2.0.1,2012,4,27,13,43153
10.2.0.1,2012,4,27,14,1834
10.2.0.1,2012,4,27,15,56570520
10.2.0.1,2012,4,27,16,9529463
10.2.0.1,2012,4,30,17,263644
10.2.0.1,2012,4,30,18,75368645
10.2.0.1,2012,4,30,19,122297736
10.2.0.1,2012,5,1,12,44707
10.2.0.1,2012,5,1,13,422814
10.2.0.1,2012,5,1,14,193334
10.2.0.1,2012,5,1,15,333123
10.2.0.1,2012,5,1,16,56109
10.2.0.1,2012,5,1,17,2163
10.2.0.1,2012,5,2,14,147398
10.2.0.1,2012,5,2,15,25877
10.2.0.1,2012,5,2,16,28683290
10.2.0.1,2012,5,3,12,85933132
10.2.0.1,2012,5,3,13,9619890
10.2.0.1,2012,5,3,14,38227500
10.2.0.1,2012,5,3,15,64664
10.2.0.1,2012,5,4,18,85390088
10.2.0.1,2012,5,4,19,18958352
10.2.0.1,2012,5,4,20,57122229
10.2.0.1,2012,5,4,21,85679236
10.2.0.1,2012,5,8,18,9606511
10.2.0.1,2012,5,8,19,9588043
10.2.0.1,2012,5,8,20,96068637
10.2.0.1,2012,5,8,21,9875944
10.2.0.1,2012,5,9,18,28837944
10.2.0.1,2012,5,9,19,66948596
10.2.0.1,2012,5,9,20,124487376
10.2.0.1,2012,5,9,21,95760408
10.2.0.1,2012,5,10,12,9599816
10.2.0.1,2012,5,10,13,67368781
10.2.0.1,2012,5,10,14,95915583
10.2.0.1,2012,5,10,15,28811652
10.2.0.1,2012,5,11,14,233772
10.2.0.1,2012,5,11,15,36630191
10.2.0.1,2012,5,11,16,46394337
10.2.0.1,2012,5,11,19,14744
10.2.0.1,2012,5,11,20,32367
10.2.0.1,2012,5,11,21,20877
10.2.0.1,2012,5,11,22,20402
10.2.0.1,2012,5,11,23,5294
10.2.0.1,2012,5,13,22,54965754
10.2.0.1,2012,5,13,23,219578839
10.2.0.1,2012,5,14,12,18376322
10.2.0.1,2012,5,14,13,18375171
10.2.0.1,2012,5,14,14,12441
10.2.0.1,2012,5,14,15,55270026
10.2.0.1,2012,5,14,16,45385
10.2.0.1,2012,5,14,18,37639
10.2.0.1,2012,5,14,20,36837885
10.2.0.1,2012,5,14,21,128819953
10.2.0.1,2012,5,14,22,202035121
10.2.0.1,2012,5,14,23,146972250
10.2.0.1,2012,5,15,10,40350
10.2.0.1,2012,5,15,11,91880466
10.2.0.1,2012,5,15,12,65947263
10.2.0.1,2012,5,15,15,91924600
10.2.0.1,2012,5,15,17,128608951
10.2.0.1,2012,5,15,18,165356925
10.2.0.1,2012,5,15,20,138001968
10.2.0.1,2012,5,16,12,17309
10.2.0.1,2012,5,16,13,77304
